course_id,course_name,credits,course_link,prerequisites
01:013:110,INTRODUCTION TO ARAMAIC,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,
01:013:111,THE BIBLE IN ARAMAIC,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/205-111-bible-in-aramaic,
01:013:120,LITERARY EGYPT,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/283-120-literary-egypt,
01:013:130,COMICS IN THE MIDDLE EAST,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/344-130-comics-in-the-middle-east,
01:013:140,ELEMENTARY ARABIC I,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/200-140-elementary-arabic,
01:013:141,ELEMENTARY ARABIC II,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/201-141-elementary-arabic,"{'logic': 'OR', 'requirements': ['01:013:140', '01:074:140']}"
01:013:143,ARABIC LAB 1,1.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/409-01-013-143-arabic-lab,
01:013:147,ELEMENTARY BENGALI,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,01:013:146
01:013:149,ELEMENTARY ARABIC FOR ARABIC SPEAKERS II,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,"{'logic': 'OR', 'requirements': ['01:013:148', '01:074:148']}"
01:013:152,ELEM MODERN HEBREW,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,
01:013:153,ELEM MODERN HEBREW,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,"{'logic': 'OR', 'requirements': ['01:013:152', '01:563:101', '01:685:101']}"
01:013:154,BIBLICAL HEBREW I,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,
01:013:155,BIBLICAL HEBREW II,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,"{'logic': 'OR', 'requirements': ['01:013:154', '01:563:141']}"
01:013:156,HEBREW REVIEW&CONTIN,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,01:563:152
01:013:160,ELEMENTARY HINDI I,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/206-160-elementary-hindi,
01:013:161,ELEMENTARY HINDI II,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/207-161-elementary-hindi,"{'logic': 'OR', 'requirements': ['01:013:160', '01:505:160']}"
01:013:162,ELEMENTARY URDU I,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/287-162-elementary-urdu,
